id_edificio,latitud,longitud,altura_estimada
46654017,37.4145911,-5.9807996,9.0
47836758,37.4201199,-5.9867006,6.0
49398691,37.4036747,-5.9929636,6.0
53646097,37.3588314,-5.9888826,6.0
54725717,37.4054175,-6.0062807,6.0
57775975,37.3835609,-6.0075134,3.0
58789582,37.3752182,-5.9560739,6.0
58789583,37.3755132,-5.9568018,6.0
59298969,37.4082045,-5.9959736,6.0
59454181,37.4019721,-5.9945966,6.0
59987176,37.3846494,-5.9332595,6.0
59988991,37.3741524,-5.9106271,6.0
59993386,37.3898384,-5.9383583,6.0
59993387,37.3890168,-5.9380302,6.0
59993389,37.3884614,-5.9353917,6.0
59993391,37.3895137,-5.9359971,6.0
59993393,37.3918352,-5.9362313,6.0
59993394,37.3874857,-5.9368162,6.0
59993396,37.3946433,-5.9371734,6.0
59993397,37.3905108,-5.9355041,6.0
59993399,37.3882091,-5.9377033,6.0
60040996,37.3697537,-5.9622985,6.0
60040997,37.3693336,-5.9616332,6.0
60041000,37.3699302,-5.9610418,6.0
60041005,37.3701304,-5.9608454,6.0
60041009,37.3689366,-5.962029,6.0
60041012,37.3697315,-5.9612396,6.0
60041014,37.3693571,-5.9626923,6.0
60041015,37.3691359,-5.9618323,6.0
60041016,37.3704365,-5.9615497,6.0
60041017,37.3695559,-5.9624951,6.0
60041021,37.3695323,-5.9614375,6.0
60045891,37.402276,-5.9588158,6.0
60045893,37.4025608,-5.9584583,30.0
60045917,37.4017028,-5.9595331,6.0
60045939,37.4011272,-5.9602511,6.0
60045960,37.4019893,-5.9591734,6.0
60045963,37.4014152,-5.9598921,6.0
60234709,37.3991487,-5.9944295,6.0
60237303,37.3931951,-5.9824621,6.0
60335146,37.38773,-5.9793484,6.0
60336154,37.3897461,-5.973774,12.0
60728709,37.3987732,-6.0085549,6.0
60740263,37.376976,-5.991665,6.0
60740327,37.3775662,-5.991187,7.0
60740347,37.376421,-5.991656,6.0
61278281,37.396597,-5.9645059,6.0
62021028,37.3943356,-5.9939709,6.0
62980503,37.4280116,-5.9727259,6.0
62980515,37.4278425,-5.9722196,6.0
62980526,37.427542,-5.971779,6.0
62980683,37.4280323,-5.9732958,6.0
63320896,37.363396,-5.9837464,6.0
63414605,37.4279013,-5.9709976,6.0
63425089,37.4257745,-5.9686127,6.0
63450056,37.4130775,-5.9829627,6.0
63521918,37.4223753,-5.9680959,6.0
63563673,37.3916793,-5.9882972,6.0
65069861,37.3784058,-5.9752329,15.0
65069893,37.3777804,-5.9754531,6.0
65075658,37.3791499,-5.9775708,6.0
65398840,37.375254,-6.0113683,6.0
65398843,37.374146,-6.0123237,6.0
65731253,37.3775929,-6.0076813,6.0
65731271,37.3778835,-6.0076063,6.0
66390629,37.3966836,-5.9814614,6.0
66390630,37.3961752,-5.9818328,6.0
66390631,37.3974908,-5.9799792,6.0
66419734,37.3942939,-5.9831177,6.0
66426091,37.3885511,-5.9841841,12.0
66427322,37.3911298,-5.9838193,6.0
66473853,37.3654324,-5.9489235,6.0
66473861,37.3652842,-5.9477724,6.0
66624433,37.4249989,-5.9644592,6.0
66624439,37.4242957,-5.9633542,6.0
66624444,37.4253758,-5.9635464,12.0
66624453,37.4249236,-5.9625014,12.0
66629575,37.4226404,-5.9639048,6.0
66629582,37.4188864,-5.9669889,6.0
66629587,37.422247,-5.9613077,6.0
66644682,37.4228412,-5.9662691,6.0
66674093,37.4212496,-5.959512,6.0
66676327,37.4179135,-5.9687318,6.0
66676428,37.4204031,-5.9642899,6.0
66676643,37.419549,-5.9690074,3.0
66677095,37.4140994,-5.9743314,6.0
66679087,37.4229817,-5.9696125,6.0
66771880,37.4217749,-5.9636021,6.0
66771888,37.4210564,-5.9639249,6.0
66771893,37.4227343,-5.9658943,6.0
66775782,37.4234984,-5.9635168,6.0
66817946,37.3786299,-5.9917837,6.0
66819285,37.3795007,-5.9883418,7.0
66825181,37.3759689,-5.9915932,6.0
66825237,37.3772283,-5.9921942,6.0
66827814,37.3878852,-5.9718082,6.0
66827815,37.3877574,-5.9718113,6.0
66846644,37.4165028,-5.9655316,6.0
66848889,37.4230076,-5.9645453,6.0
67075446,37.4056236,-5.9858713,6.0
67188696,37.4119762,-5.9780927,6.0
67188701,37.4113588,-5.9783203,6.0
67755523,37.4128214,-5.9694432,6.0
67755560,37.4130437,-5.9673255,6.0
67792932,37.4070266,-5.9690226,6.0
67793279,37.4088166,-5.9691594,6.0
67802673,37.4101845,-5.975335,6.0
67805054,37.416394,-5.9644895,6.0
67805057,37.4185147,-5.9631637,6.0
67805058,37.4170599,-5.9634826,6.0
67825817,37.411977,-5.9683551,6.0
67825818,37.4113943,-5.9680772,6.0
67825821,37.4102684,-5.9704614,6.0
67825822,37.4108502,-5.9701473,6.0
67825823,37.4099564,-5.9698497,6.0
67825826,37.4105383,-5.9691696,6.0
67825827,37.4112894,-5.9691385,6.0
67825829,37.4111277,-5.9705041,6.0
67825831,37.4119764,-5.9702335,6.0
67825832,37.4132965,-5.9680643,6.0
67825834,37.413719,-5.9671858,6.0
67825835,37.4145699,-5.9669308,6.0
67825838,37.4153987,-5.9673175,6.0
67825839,37.4148704,-5.9677145,6.0
67825840,37.4143606,-5.9680219,6.0
67825841,37.4139048,-5.9684688,6.0
